```csv
country_code,category,total_revenue_eur,order_count
BE,Home,17642.31,19
PL,Clothing,16984.72,20
DE,Electronics,16578.64,21
AT,Sports,16392.85,20
ES,Books,16147.58,21
CH,Home,15876.44,17
IT,Clothing,15739.92,19
NL,Sports,15684.37,20
FR,Electronics,15472.83,19
BE,Books,15386.19,20
PL,Home,15194.66,17
DE,Clothing,15083.41,18
AT,Books,14896.72,19
ES,Electronics,14764.38,19
CH,Sports,14583.92,18
IT,Home,14396.75,16
NL,Clothing,14284.61,17
FR,Books,14176.34,18
GB,Home,13982.45,15
BE,Sports,13867.28,18
PL,Electronics,13752.96,18
DE,Books,13648.73,18
AT,Home,13485.19,15
ES,Clothing,13374.82,16
CH,Electronics,13261.54,17
IT,Sports,13148.27,17
NL,Books,13036.82,17
FR,Clothing,12924.56,16
GB,Electronics,12783.41,16
BE,Clothing,12674.93,16
PL,Books,12568.37,17
DE,Sports,12456.18,17
AT,Electronics,12348.69,16
ES,Home,12237.44,14
CH,Books,12126.83,16
IT,Electronics,12018.57,16
NL,Home,11907.28,14
FR,Sports,11796.64,16
GB,Clothing,11685.32,15
BE,Electronics,11574.89,15
PL,Sports,11463.71,16
DE,Home,11352.46,13
AT,Clothing,11241.38,14
ES,Sports,11130.27,15
CH,Clothing,11019.16,14
IT,Books,10908.42,15
NL,Electronics,10797.65,14
FR,Home,10686.39,12
GB,Books,10575.18,14
BE,Toys,9864.73,14
PL,Toys,9475.61,13
DE,Toys,9128.44,13
AT,Toys,8764.28,12
ES,Toys,8421.15,12
CH,Toys,8013.67,11
IT,Toys,7648.92,11
NL,Toys,7294.36,10
FR,Toys,6871.54,10
GB,Toys,6254.18,9
```
