```csv
country_code,category,total_revenue_eur,order_count
CH,Electronics,18542.63,20
IT,Electronics,17684.44,20
ES,Electronics,17126.72,21
AT,Electronics,16891.78,19
PL,Books,16524.38,19
DE,Electronics,16275.91,20
FR,Electronics,15884.16,18
GB,Electronics,15763.42,19
BE,Electronics,15496.87,18
NL,Electronics,15183.92,18
CH,Books,14972.68,17
IT,Books,14765.31,17
ES,Books,14588.64,18
AT,Books,14296.75,17
PL,Electronics,14184.33,17
DE,Books,13987.26,17
GB,Books,13654.82,16
FR,Books,13482.17,16
BE,Books,13286.54,16
NL,Books,12974.48,16
CH,Clothing,12861.95,16
IT,Clothing,12644.83,16
ES,Clothing,12436.27,16
AT,Clothing,12218.64,15
PL,Clothing,11986.73,15
DE,Clothing,11765.54,15
GB,Clothing,11542.69,15
FR,Clothing,11326.45,14
BE,Clothing,11108.82,14
NL,Clothing,10894.37,14
CH,Toys,10763.58,14
IT,Toys,10548.21,14
ES,Toys,10327.46,14
AT,Toys,10114.92,13
PL,Toys,9896.35,13
DE,Toys,9674.18,13
GB,Toys,9453.66,13
FR,Toys,9238.51,12
BE,Toys,9017.84,12
NL,Toys,8794.29,12
CH,Sports,8651.74,13
IT,Sports,8472.36,13
ES,Sports,8296.18,13
AT,Sports,8124.57,12
PL,Sports,7953.42,12
DE,Sports,7781.96,12
GB,Sports,7608.83,12
FR,Sports,7436.29,11
BE,Sports,7264.75,11
NL,Sports,7091.62,11
CH,Home,6984.36,12
IT,Home,6815.92,12
ES,Home,6652.47,12
AT,Home,6487.18,11
PL,Home,6321.64,11
DE,Home,6158.29,11
GB,Home,5992.73,11
FR,Home,5826.41,10
BE,Home,5661.84,10
NL,Home,5494.52,10
```
